Strike ID,Country,Date (MM-DD-YYYY),President,Most Specific Location,Most Specific Lat/Long,Latitude,Longitude,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Ratio of Civilians to Total Killed,Other (Non-civilian/children Killed),,,,,,,,,,,,,,,,,,,
SOM081,Somalia,01-02-2018,Trump,Mogadishu,"2.046934,45.318162",2.046934,45.318162,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
Ob54,Pakistan,01-03-2010,Obama,"Mosaki, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,5,5,1,2,1,1,2,0.4,2,,,,,,,,,,,,,,,,,,,
Ob307,Pakistan,01-03-2013,Obama,"Ghundi Killi, Tappi area, Tehsil Miranshah, North Waziristan, Pakistan","32.947289,70.147813",32.947289,70.147813,3,6,0,0,0,0,1,0,6,,,,,,,,,,,,,,,,,,,
AFG002,Afghanistan ,01-03-2015,Obama,"Gayan, Paktika, Afghanistan","32.984041,69.430782",32.984041,69.430782,18,18,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,
AFG003,Afghanistan ,01-03-2015,Obama,"Spera, Khost, Afghanistan","32.8078448,68.6456967",32.8078448,",68.6456967",7,7,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,
YEM116,Yemen,01-04-2013,Obama,"Radaa, Bayda, Yemen","14.411870,44.836513",14.411870,44.836513,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
Ob358,Pakistan,01-04-2015,Obama,"Alwara Mandi, Datta Khel or Shawal, North Waziristan, Pakistan","33.150049,70.433361",33.150049,70.433361,6,10,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,
Ob56,Pakistan,01-06-2010,Obama,"Sanzali, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,5,9,5,5,0,0,3,0.555555556,4,,,,,,,,,,,,,,,,,,,
Ob55,Pakistan,01-06-2010,Obama,"Sanzali, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,5,7,0,6,0,0,5,0.857142857,1,,,,,,,,,,,,,,,,,,,
Ob308,Pakistan,01-06-2013,Obama,"Smal Narai area, Tehsil Ladha, South Waziristan, Pakistan","32.320237,69.859740",32.320237,69.859740,8,18,0,0,0,0,3,0,18,,,,,,,,,,,,,,,,,,,
YEM147,Yemen,01-06-2014,Obama,"Radaa, Bayda, Yemen","14.411870,44.836513",14.411870,44.836513,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG004,Afghanistan ,01-06-2015,Obama,"Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",34.872898,71.155620,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG137,Afghanistan ,01-06-2016,Obama,"Majah, Helmand, Afghanistan","31.517771,64.114227",31.517771,64.114227,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
SOM001,Somalia,01-07-2007,Bush,"Ras Kamboni, Somalia","-1.636037,41.583711",-1.636037,41.583711,8,10,2,2,0,1,1,0,7,,,,,,,,,,,,,,,,,,,
Ob185,Pakistan,01-07-2011,Obama,"Ghar Laley, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,1,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
AFG005,Afghanistan ,01-07-2015,Obama,"Logar, Afghanistan","34.014551,69.192391",34.014551,69.192391,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
SOM045,Somalia,01-07-2017,Obama,"Gaduug, Somalia","5.152149,46.199615",5.152149,46.199615,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Ob57,Pakistan,01-08-2010,Obama,"Tappi, North Waziristan, Pakistan","32.946490,70.147068",32.946490,70.147068,5,6,5,5,1,1,3,0.833333333,0,,,,,,,,,,,,,,,,,,,
Ob310,Pakistan,01-08-2013,Obama,"Malangan Hassokhel, Tehsil Mir Ali, North Waziristan, Pakistan","32.954822,70.288452",32.954822,70.288452,0,9,0,0,0,0,1,0,9,,,,,,,,,,,,,,,,,,,
Ob309,Pakistan,01-08-2013,Obama,"Haiderkhel, near Mir Ali, North Waziristan, Pakistan","32.970019,70.277584",32.970019,70.277584,4,9,0,2,0,1,1,0.222222222,6,,,,,,,,,,,,,,,,,,,
YEM148,Yemen,01-08-2014,Obama,"Al Qotn, Hadhramout, Yemen","15.840860,48.483723",15.840860,48.483723,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
AFG006,Afghanistan ,01-08-2015,Obama,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,6,6,0,0,0,0,3,0,6,,,,,,,,,,,,,,,,,,,
AFG138,Afghanistan ,01-08-2016,Obama,"Maktab village, Pekha, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,17,20,0,0,0,0,2,0,20,,,,,,,,,,,,,,,,,,,
AFG139,Afghanistan ,01-08-2016,Obama,"Kharkhez, Kandahar, Afghanistan","31.788010,65.570785",31.788010,65.570785,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG140,Afghanistan ,01-08-2016,Obama,"Bermal, Paktika, Afghanistan","32.746111,69.297777",32.746111,69.297777,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
YEM256,Yemen,01-08-2017,Obama,"Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
SOM002,Somalia,01-09-2007,Bush,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni, Somalia","-1.636037,41.583711",-1.636037,41.583711,5,10,0,0,0,0,4,0,10,,,,,,,,,,,,,,,,,,,
SOM003,Somalia,01-09-2007,Bush,"Hayo, Somalia","5.152149,46.199615",5.152149,46.199615,4,31,4,31,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
Ob58,Pakistan,01-09-2010,Obama,"Ismail Khel, North Waziristan, Pakistan","32.967169,69.692204",32.967169,69.692204,4,5,0,0,0,0,5,0,5,,,,,,,,,,,,,,,,,,,
Ob59,Pakistan,01-09-2010,Obama,"Shaktoi, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,15,18,0,0,0,0,7,0,18,,,,,,,,,,,,,,,,,,,
Ob371,Pakistan,01-09-2016,Obama,"Mangrooti village, Shawal valley, Datta Khel tehsil, North Waziristan, Pakistan","32.613785,69.508247",32.613785,69.508247,5,5,0,0,0,0,2,0,5,,,,,,,,,,,,,,,,,,,
AFG141,Afghanistan ,01-09-2016,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,20,20,0,0,0,0,2,0,20,,,,,,,,,,,,,,,,,,,
AFG142,Afghanistan ,01-09-2016,Obama,"Shegal, Kunar, Afghanistan","35.118055,71.228333",35.118055,71.228333,10,10,1,1,1,1,0,0.1,8,,,,,,,,,,,,,,,,,,,
Ob256,Pakistan,01-10-2012,Obama,"Miram Shah, North Waziristan, Pakistan","32.956928,70.169394",32.956928,70.169394,1,4,0,0,0,0,2,0,4,,,,,,,,,,,,,,,,,,,
Ob311,Pakistan,01-10-2013,Obama,"Hassokhel, near Mir Ali, North Waziristan, Pakistan","32.970019,70.277584",32.970019,70.277584,3,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
AFG143,Afghanistan ,01-10-2016,Obama,"Bermal, Paktika, Afghanistan","32.746111,69.297777",32.746111,69.297777,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG144,Afghanistan ,01-10-2016,Obama,"Bermal, Paktika, Afghanistan","32.746111,69.297777",32.746111,69.297777,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG302,Afghanistan ,01-10-2017,Obama,"Aziz Kala, Sabri, Khost, Afghanistan","33.358507,69.859740",33.358507,69.859740,4,4,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,
AFG007,Afghanistan ,01-11-2015,Obama,"Chikanawr, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,8,8,0,0,0,0,3,0,8,,,,,,,,,,,,,,,,,,,
AFG434,Afghanistan ,01-11-2018,Trump,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,8,13,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,
YEM005,Yemen,01-12-2010,Obama,"Shabwa, Yemen","14.754630,46.516261",14.754630,46.516261,1,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
Ob186,Pakistan,01-12-2011,Obama,"Haider Khel, North Waziristan, Pakistan","32.944834,70.301845",32.944834,70.301845,3,6,0,0,0,0,2,0,6,,,,,,,,,,,,,,,,,,,
Ob257,Pakistan,01-12-2012,Obama,"Datta Khel, North Waziristan, Pakistan","33.150049,70.433361",33.150049,70.433361,5,9,0,0,0,0,2,0,9,,,,,,,,,,,,,,,,,,,
B5,Pakistan,01-13-2006,Bush,"Damadola, Bajaur Agency, Pakistan","34.786528,71.524915",34.786528,71.524915,13,22,10,18,5,6,0,0.818181818,0,,,,,,,,,,,,,,,,,,,
AFG145,Afghanistan ,01-14-2016,Obama,"Abdulkhelo area, Bandar locality, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,12,12,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,
AFG435,Afghanistan ,01-14-2018,Trump,"Want Waigal, Nuristan, Afghanistan","35.050080,70.908540",35.050080,70.908540,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
YEM006,Yemen,01-15-2010,Obama,"Al Ajashir, Saada, Yemen","17.183333,44.799999",17.183333,44.799999,0,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
Ob60,Pakistan,01-15-2010,Obama,"Zanani, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,5,10,0,0,0,0,3,0,10,,,,,,,,,,,,,,,,,,,
Ob61,Pakistan,01-15-2010,Obama,"Shaktoi, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,6,10,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,
YEM149,Yemen,01-15-2014,Obama,"Shibam, Hadhramout, Yemen","15.921257,48.636381",15.921257,48.636381,1,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
Ob360,Pakistan,01-15-2015,Obama,"Ladha district, South Waziristan, Pakistan","32.645780,70.121765",32.645780,70.121765,4,7,0,0,0,0,3,0,7,,,,,,,,,,,,,,,,,,,
Ob359,Pakistan,01-15-2015,Obama,"Shawal, North Waziristan, Pakistan","32.613785,69.508247",32.613785,69.508247,5,7,2,2,0,0,0,0.285714286,5,,,,,,,,,,,,,,,,,,,
YEM211,Yemen,01-15-2016,Obama,"Rafadh, Shabwa, Yemen","14.754630,46.516261",14.754630,46.516261,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG303,Afghanistan ,01-15-2017,Obama,"Musa Qala, Helmand, Afghanistan","32.311872,64.811083",32.311872,64.811083,15,15,0,0,0,0,10,0,15,,,,,,,,,,,,,,,,,,,
B7,Pakistan,01-16-2007,Bush,"Zamazola, South Waziristan, Pakistan","32.320237,69.859740",32.320237,69.859740,8,8,8,8,1,1,0,1,0,,,,,,,,,,,,,,,,,,,
AFG008,Afghanistan ,01-16-2015,Obama,"Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",34.118171,70.752529,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG146,Afghanistan ,01-16-2016,Obama,"Unkown, Deh Bala, Nangarhar, Afghanistan","34.092630,70.469224",34.092630,70.469224,17,17,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,
AFG147,Afghanistan ,01-16-2016,Obama,"Shabi Tangi, Haska Mena, Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,22,22,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,
Ob62,Pakistan,01-17-2010,Obama,"Shaktoi, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,14,20,0,0,0,0,4,0,20,,,,,,,,,,,,,,,,,,,
AFG009,Afghanistan ,01-17-2015,Obama,"Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG305,Afghanistan ,01-17-2017,Obama,"Bandar, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,7,7,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,
Ob187,Pakistan,01-18-2011,Obama,"Assar Madd Khel, Datta Khel, North Waziristan, Pakistan","33.150049,70.433361",33.150049,70.433361,3,7,0,0,0,0,3,0,7,,,,,,,,,,,,,,,,,,,
SOM082,Somalia,01-18-2018,Trump,Kismayo,"-0.356045,42.546057",-0.356045,42.546057,4,4,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,
SOM083,Somalia,01-18-2018,Trump,"Middle Shabelle region, Somalia","2.925024,45.903968",2.925024,45.903968,0,5,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,
Ob63,Pakistan,01-19-2010,Obama,"Deegan, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,5,9,0,0,0,0,4,0,9,,,,,,,,,,,,,,,,,,,
YEM117,Yemen,01-19-2013,Obama,"Wadi Abida, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
YEM119,Yemen,01-19-2013,Obama,"Wadi Abida, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,4,6,0,4,0,0,0,0.666666667,2,,,,,,,,,,,,,,,,,,,
YEM118,Yemen,01-19-2013,Obama,"Wadi Abida, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,2,4,0,3,0,0,0,0.75,1,,,,,,,,,,,,,,,,,,,
Ob361,Pakistan,01-19-2015,Obama,"Shahi Khel, Shawal, North Waziristan, Pakistan","32.613785,69.508247",32.613785,69.508247,5,7,0,0,0,0,4,0,7,,,,,,,,,,,,,,,,,,,
AFG010,Afghanistan ,01-19-2015,Obama,"Khugyani, Nangarhar, Afghanistan","34.229212,70.193208",34.229212,70.193208,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
YEM212,Yemen,01-19-2016,Obama,"Sayoun, Hadramout, Yemen","15.949543,48.809566",15.949543,48.809566,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
AFG148,Afghanistan ,01-19-2016,Obama,"Deh Sarak, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,5,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
AFG149,Afghanistan ,01-19-2016,Obama,"Deh Sarak, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,5,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
YEM007,Yemen,01-20-2010,Obama,"Erq al Shawan, Marib, Yemen","13.6077214,44.984871",13.6077214,44.984871,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
YEM120,Yemen,01-20-2013,Obama,"Al Kanais, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
YEM257,Yemen,01-20-2017,Trump,"Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
AFG304,Afghanistan ,01-20-2017,Obama,"Bandr Khor, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,4,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
AFG436,Afghanistan ,01-20-2018,Trump,"Barmal, Paktika, Afghanistan","32.715659,69.281793",32.715659,69.281793,14,14,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,
AFG437,Afghanistan ,01-20-2018,Trump,"Nika, Paktika, Afghanistan","33.200382,69.311592",33.200382,69.311592,50,50,0,0,0,0,0,0,50,,,,,,,,,,,,,,,,,,,
SOM014,Somalia,01-21-2012,Obama,"Elasha Biyaha, Somalia","5.152149,46.199615",5.152149,46.199615,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
YEM121,Yemen,01-21-2013,Obama,"Nakhla, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,2,4,0,0,0,0,2,0,4,,,,,,,,,,,,,,,,,,,
YEM258,Yemen,01-21-2017,Trump,"Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,3,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
YEM122,Yemen,01-22-2013,Obama,"Al Boka, Jawf, Yemen","16.790181,45.299386",16.790181,45.299386,3,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
AFG150,Afghanistan ,01-22-2016,Obama,"Khawajakhel, Arghandab, Zabul, Afghanistan","32.431900,66.674210",32.431900,66.674210,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG151,Afghanistan ,01-22-2016,Obama,"Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
AFG152,Afghanistan ,01-22-2016,Obama,"Abdulkhel area, Achin, Nangarhar, Afghanistan","34.053888,70.696111",34.053888,70.696111,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG153,Afghanistan ,01-22-2016,Obama,"Gorgori, Haska Mena, Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,10,10,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,
YEM259,Yemen,01-22-2017,Trump,"Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,1,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
SOM004,Somalia,01-23-2007,Bush,"Waldena, Somalia","5.152149,46.199615",5.152149,46.199615,8,8,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
Ob1,Pakistan,01-23-2009,Obama,"Zharki, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,7,15,9,11,1,1,1,0.733333333,3,,,,,,,,,,,,,,,,,,,
Ob2,Pakistan,01-23-2009,Obama,"Ganki Khel, South Waziristan, Pakistan","32.320237,69.859740",32.320237,69.859740,5,10,5,10,3,4,2,1,0,,,,,,,,,,,,,,,,,,,
Ob188,Pakistan,01-23-2011,Obama,"Doga Mada Khel, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,2,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
Ob189,Pakistan,01-23-2011,Obama,"Doga Mada Khel, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,2,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
Ob190,Pakistan,01-23-2011,Obama,"Razmak, North Waziristan, Pakistan","32.678757,69.829959",32.678757,69.829959,4,6,0,0,0,0,3,0,6,,,,,,,,,,,,,,,,,,,
Ob258,Pakistan,01-23-2012,Obama,"Deegan, North Waziristan, Pakistan","32.943065,69.955033",32.943065,69.955033,2,5,0,0,0,0,1,0,5,,,,,,,,,,,,,,,,,,,
Ob259,Pakistan,01-23-2012,Obama,"Char Khel, Datta Khel, North Waziristan, Pakistan","33.150049,70.433361",33.150049,70.433361,0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
YEM124,Yemen,01-23-2013,Obama,"Qayfa, Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,3,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
YEM123,Yemen,01-23-2013,Obama,"Khawlan, Sanaa, Yemen","15.185167,44.493660",15.185167,44.493660,4,4,2,2,0,0,0,0.5,2,,,,,,,,,,,,,,,,,,,
AFG154,Afghanistan ,01-23-2016,Obama,"Bandar, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,3,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG155,Afghanistan ,01-23-2016,Obama,"Nargusi, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,6,6,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,
YEM150,Yemen,01-24-2014,Obama,"Wadi Abida, Marib, Yemen","15.470031,45.322857",15.470031,45.322857,3,4,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,
AFG156,Afghanistan ,01-24-2016,Obama,"Gurguri, Deh Bala, Nangarhar, Afghanistan","33.290775,70.794156",33.290775,70.794156,13,13,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,
AFG157,Afghanistan ,01-24-2016,Obama,"Bandar Khwar, Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,4,4,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,
T006,Pakistan,01-24-2018,Trump,Unknown,Unknown,#VALUE!,#VALUE!,1,3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,
AFG158,Afghanistan ,01-25-2016,Obama,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,5,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,
SOM019,Somalia,01-26-2014,Obama,"Hawai, Lower Shabelle, Somalia","1.9879983,42.9894478",1.9879983,-42.9894478,2,9,0,2,0,2,0,0.222222222,5,,,,,,,,,,,,,,,,,,,
YEM179,Yemen,01-26-2015,Obama,"Hareeb, Yemen","14.926530,45.507141",14.926530,45.507141,3,3,1,2,1,1,0,0.666666667,0,,,,,,,,,,,,,,,,,,,
AFG438,Afghanistan ,01-27-2018,Trump,"Barmal, Paktika, Afghanistan","32.715659,69.281793",32.715659,69.281793,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
Ob362,Pakistan,01-28-2015,Obama,"Shawal, North Waziristan, Pakistan","32.613785,69.508247",32.613785,69.508247,6,7,0,0,0,0,2,0,7,,,,,,,,,,,,,,,,,,,
AFG306,Afghanistan ,01-28-2017,Trump,"Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,7,7,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,
YEM260,Yemen,01-28-2017,Trump,"Yakla, Bayda, Yemen","13.988914,45.577100",13.988914,45.577100,39,39,25,25,10,10,7,0.641025641,4,,,,,,,,,,,,,,,,,,,
B12,Pakistan,01-29-2008,Bush,"Mir Ali, North Waziristan, Pakistan","32.970019,70.277584",32.970019,70.277584,12,15,4,6,2,3,1,0.4,6,,,,,,,,,,,,,,,,,,,
Ob64,Pakistan,01-29-2010,Obama,"Mohammad Khel, North Waziristan, Pakistan","32.957056,69.885054",32.957056,69.885054,2,15,0,0,0,0,4,0,15,,,,,,,,,,,,,,,,,,,
YEM296,Yemen,01-29-2018,Trump,Unknown,Unknown,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
YEM261,Yemen,01-30-2017,Trump,"Baihan, Shabwa, Yemen","14.797618,45.718941",14.797618,45.718941,2,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
AFG439,Afghanistan ,01-30-2018,Trump,"Attal, Andar, Ghazni, Afghanistan","33.263079,68.572411",33.263079,68.572411,26,26,0,0,0,0,20,0,26,,,,,,,,,,,,,,,,,,,
YEM008,Yemen,01-31-2010,Obama,Unknown ,Unknown ,Unknown ,Unknown ,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
YEM037,Yemen,01-31-2012,Obama,"Lawder, Abyan, Yemen","13.879273,45.869518",13.879273,45.869518,10,14,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,
YEM038,Yemen,01-31-2012,Obama,"Abyan, Yemen","13.634341,46.056321",13.634341,46.056321,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
YEM180,Yemen,01-31-2015,Obama,"Al Saeed, Shabwa, Yemen","14.754630,46.516261",14.754630,46.516261,4,4,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,
SOM022,Somalia,01-31-2015,Obama,"Dugule, Lower Shabelle, Somalia","1.876645,44.247901",1.876645,44.247901,40,60,0,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,
SOM023,Somalia,01-31-2015,Obama,"Dinsoor, Bay Region, Somalia","2.407457,42.970883",2.407457,42.970883,2,9,0,4,0,0,0,0.444444444,5,,,,,,,,,,,,,,,,,,,
AFG308,Afghanistan ,01-31-2017,Trump,Unknown,Unknown,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG307,Afghanistan ,01-31-2017,Trump,"Sangin, Helmand, Afghanistan","32.071099,64.852586",32.071099,64.852586,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AFG159,Afghanistan ,02-01-2016,Obama,"Momand, Achin, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,21,29,0,0,0,0,0,0,29,,,,,,,,,,,,,,,,,,,
