Strike ID,Country,Date (MM-DD-YYYY),President,Village/local area,District,Province,"Village/Local Area, District, Province, Country",Lat/Long of Location ,"Modified Location 
when Applicable","Lat/Long of Modified Location 
when Applicable ",Most Specific Location,Most Specific Lat/Long,,,Type of attack,Reportedly drone?,US confirmed?,US only source?,"Counter-
terrorism, force protection or strategic effects?",Reported target group?,Time,Reported target type,Minimum strikes,Maximum strikes,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,Timeline URL,Index
AFG018,Afghanistan ,03-13-2015,Obama,Unknown,Lal Pura,Nangarhar,"Unknown, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,1,0,FP,Taliban,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#82,,82
AFG019,Afghanistan ,03-18-2015,Obama,Unknown,Chinar Khor,Kunar,"Unknown, Chinar Khor, Kunar, Afghanistan","34.846589,71.097316",,,"Chinar Khor, Kunar, Afghanistan","34.846589,71.097316",34.846589,71.097316,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#126,,126
AFG020,Afghanistan ,03-23-2015,Obama,Unknown,Nazyan,Nangarhar,"Unknown, Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",,,"Nazyan, Nangarhar, Afghanistan","34.118171,70.752529",34.118171,70.752529,US strike,1,1,0,FP,"Lashkar e Islam, TTP and Abdullah Azam Brigade",-,Hideout,1,1,9,13,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#10,,10
AFG021,Afghanistan ,03-24-2015,Obama,Unknown,Unknown,Kunar,"Unknown, Unknown, Kunar, Afghanistan","34.846589,71.097316",,,"Kunar, Afghanistan","34.846589,71.097316",34.846589,71.097316,US strike,1,0,0,-,TTP,-,-,1,1,11,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#11,,11
AFG022,Afghanistan ,03-25-2015,Obama,Unknown,Sia Gird,Parwan,"Unknown, Sia Gird, Parwan, Afghanistan","34.963097,68.810884",,,"Sia Gird, Parwan, Afghanistan","34.963097,68.810884",34.963097,68.810884,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#127,,127
AFG023,Afghanistan ,03-26-2015,Obama,Unknown,Zurmat,Paktia,"Unknown, Zurmat, Paktia, Afghanistan","33.435888,69.031453",,,"Zurmat, Paktia, Afghanistan","33.435888,69.031453",33.435888,69.031453,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#128,,128
AFG024,Afghanistan ,04-12-2015,Obama,Unknown,Dara I Pech,Kunar,"Unknown, Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",,,"Dara I Pech, Kunar, Afghanistan","34.872898,71.155620",34.872898,71.155620,US strike,1,1,0,FP,Taliban,5:30,Hideouts,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#13,,13
AFG025,Afghanistan ,04-28-2015,Obama,Degal,Chapa Darre,Kunar,"Degal, Chapa Darre, Kunar, Afghanistan","34.846589,71.097316",,,"Degal, Chapa Darre, Kunar, Afghanistan","34.846589,71.097316",34.846589,71.097316,US strike,1,1,0,FP,Taliban,-,-,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#14,,14
AFG026,Afghanistan ,05-03-2015,Obama,Unknown,Mohmand Dara,Nangarhar,"Unknown, Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",,,"Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,US strike,1,1,0,FP,Taliban,17:00,Convoy,1,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#15,,15
AFG027,Afghanistan ,05-04-2015,Obama,"Dabili, Landi Basawal area",Mohmand Dara,Nangarhar,"Dabili, Landi Basawal area, Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",,,"Dabili, Landi Basawal area, Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,US strike,1,1,0,FP,Taliban,Night,Hideout,1,1,17,17,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#16,,16
AFG028,Afghanistan ,05-07-2015,Obama,Unknown,Khas Khar,Kunar,"Unknown, Khas Khar, Kunar, Afghanistan","34.643368,71.026004",,,"Khas Khar, Kunar, Afghanistan","34.643368,71.026004",34.643368,71.026004,US strike,1,0,0,-,Insurgents,-,Vehicle,1,1,6,7,0,1,0,1,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#17,,17
AFG029,Afghanistan ,05-07-2015,Obama,Unknown,Goshti,Nangarhar,"Unknown, Goshti, Nangarhar, Afghanistan","34.171831,70.621679",,,"Goshti, Nangarhar, Afghanistan","34.171831,70.621679",34.171831,70.621679,US strike,1,1,0,FP,"""Rebels""",Late,Vehicle,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#18,,18
AFG030,Afghanistan ,05-09-2015,Obama,Machi Megi,Lal Pura,Nangarhar,"Machi Megi, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Machi Megi, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,1,0,FP,Taliban,-,Hideout,1,1,13,13,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#19,,19
AFG031,Afghanistan ,05-14-2015,Obama,Unknown,Bati Kot,Nangarhar,"Unknown, Bati Kot, Nangarhar, Afghanistan","34.263148,70.788209",,,"Bati Kot, Nangarhar, Afghanistan","34.263148,70.788209",34.263148,70.788209,US strike,1,1,0,Possible CT,Taliban,Night,Vehicle,1,1,4,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#20,,20
AFG032,Afghanistan ,05-15-2015,Obama,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin","Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin",Nangarhar,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin, Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin, Nangarhar, Afghanistan","34.263148,70.788209",,,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin, Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin, Nangarhar, Afghanistan","34.263148,70.788209",34.263148,70.788209,US strike,1,1,0,FP,Taliban,Night,Vehicles and at least one hideout,4,4,5,41,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#21,,21
AFG033,Afghanistan ,05-21-2015,Obama,Katar village,Watapor,Kunar,"Katar village, Watapor, Kunar, Afghanistan","34.910930,71.127398",,,"Katar village, Watapor, Kunar, Afghanistan","34.910930,71.127398",34.910930,71.127398,US strike,1,1,0,FP,Taliban,Evening,-,1,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#22,,22
AFG034,Afghanistan ,05-27-2015,Obama,Unknown,Want Waigal,Nuristan,"Unknown, Want Waigal, Nuristan, Afghanistan","35.050080,70.908540",,,"Want Waigal, Nuristan, Afghanistan","35.050080,70.908540",35.050080,70.908540,US strike,1,1,0,FP,Taliban,-,-,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#23,,23
AFG035,Afghanistan ,05-28-2015,Obama,Unknown,Watapor,Kunar,"Unknown, Watapor, Kunar, Afghanistan","34.910930,71.127398",,,"Watapor, Kunar, Afghanistan","34.910930,71.127398",34.910930,71.127398,US strike,1,1,0,FP,Taliban,-,-,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#24,,24
AFG036,Afghanistan ,05-31-2015,Obama,Unknown,Baraki Barak,Logar,"Unknown, Baraki Barak, Logar, Afghanistan","33.969092,68.950978",,,"Baraki Barak, Logar, Afghanistan","33.969092,68.950978",33.969092,68.950978,US strike,0,1,0,-,-,-,-,1,1,2,3,0,3,0,2,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#130,,130
AFG037,Afghanistan ,06-03-2015,Obama,Shogam area,Shigal,Kunar,"Shogam area, Shigal, Kunar, Afghanistan","35.118055,71.228333",,,"Shogam area, Shigal, Kunar, Afghanistan","35.118055,71.228333",35.118055,71.228333,US strike,1,1,0,FP,-,Night,Hideout,1,1,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#25,,25
AFG038,Afghanistan ,06-04-2015,Obama,Unknown,Achin,Nangarhar,"Unknown, Achin, Nangarhar, Afghanistan","34.08218,70.667034",,,"Achin, Nangarhar, Afghanistan","34.08218,70.667034",34.08218,0.667034,US strike,1,1,0,FP,Taliban,18:30,Hideout,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#26,,26
AFG039,Afghanistan ,06-04-2015,Obama,Unknown,Chapahar,Nangarhar,"Unknown, Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",,,"Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",34.328976,70.407486,US strike,1,1,0,FP,Taliban,Late,Vehicle,1,1,6,6,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#27,,27
AFG040,Afghanistan ,06-04-2015,Obama,Unknown,Chapahar,Nangarhar,"Unknown, Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",,,"Chapahar, Nangarhar, Afghanistan","34.328976,70.407486",34.328976,70.407486,US strike,1,0,0,-,Taliban,Late,Two vehicles,1,1,11,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#28,,28
AFG041,Afghanistan ,06-05-2015,Obama,Ali Shir,Tere Zayi,Khost,"Ali Shir, Tere Zayi, Khost, Afghanistan","33.388710,70.169394",,,"Ali Shir, Tere Zayi, Khost, Afghanistan","33.388710,70.169394",33.388710,70.169394,US strike,1,1,0,CT,Taliban,-,Two vehicles,1,1,14,14,14,14,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#29,,29
AFG042,Afghanistan ,06-07-2015,Obama,Unknown,Chapa Dara,Kunar,"Unknown, Chapa Dara, Kunar, Afghanistan","34.920175,70.764423",,,"Chapa Dara, Kunar, Afghanistan","34.920175,70.764423",34.920175,70.764423,US strike,1,1,0,FP,Taliban,Evening,Hideout,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#30,,30
AFG043,Afghanistan ,06-08-2015,Obama,Samso,Lal Pura,Nangarhar,"Samso, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Samso, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,1,0,FP,Taliban / ISIS,-,Hideout,1,1,7,7,0,5,0,5,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#31,,31
AFG044,Afghanistan ,06-08-2015,Obama,Unknown,Lal Pura,Nangarhar,"Unknown, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,0,0,-,Insurgents,-,Vehicle,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#32,,32
AFG045,Afghanistan ,06-11-2015,Obama,Maroufkhil,Khushamand,Paktika,"Maroufkhil, Khushamand, Paktika, Afghanistan","32.264538,68.524714",,,"Maroufkhil, Khushamand, Paktika, Afghanistan","32.264538,68.524714",32.264538,68.524714,US strike,1,0,0,-,Arabs making bombs for Taliban,8:00,"Unclear - they were reportedly making bombs so could be hideout but possibly a ""gathering"" as vehicles destroyed.",1,1,30,30,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#33,,33
AFG046,Afghanistan ,06-11-2015,Obama,Jarkani,Yousufkhil,Paktika,"Jarkani, Yousufkhil, Paktika, Afghanistan","32.264538,68.524714",,,"Jarkani, Yousufkhil, Paktika, Afghanistan","32.264538,68.524714",32.264538,68.524714,US strike,1,0,0,-,Insurgents,-,A motorcylce,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#34,,34
AFG047,Afghanistan ,06-14-2015,Obama,Unknown,Dangam,Kunar,"Unknown, Dangam, Kunar, Afghanistan","35.002193,71.406187",,,"Dangam, Kunar, Afghanistan","35.002193,71.406187",35.002193,71.406187,US strike,1,1,0,FP,Taliban,-,Up to three buildings - house,1,1,7,15,0,5,0,5,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#35,,35
AFG048,Afghanistan ,06-15-2015,Obama,Unknown,Chak e Wardak,Wardak,"Unknown, Chak e Wardak, Wardak, Afghanistan","34.031203,68.572411",,,"Chak e Wardak, Wardak, Afghanistan","34.031203,68.572411",34.031203,68.572411,US strike,0,1,1,-,-,-,-,1,1,2,2,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#131,,131
AFG049,Afghanistan ,06-18-2015,Obama,Unknown,Chazi Abad,Kunar,"Unknown, Chazi Abad, Kunar, Afghanistan","34.6999992,70.7412452",,,"Chazi Abad, Kunar, Afghanistan","34.70000,70.75000",34.70000,70.75000,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#132,,132
AFG050,Afghanistan ,06-19-2015,Obama,Unknown,Mohmand Dara,Nangarhar,"Unknown, Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",,,"Mohmand Dara, Nangarhar, Afghanistan","34.215777,71.026004",34.215777,71.026004,US strike,1,0,0,-,-,10:00,Two vehicles,1,1,8,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#36,,36
AFG051,Afghanistan ,06-19-2015,Obama,Kamar Kandaw,Haska Meena,Nangarhar,"Kamar Kandaw, Haska Meena, Nangarhar, Afghanistan","34.468888,70.889722",,,"Kamar Kandaw, Haska Meena, Nangarhar, Afghanistan","34.468888,70.889722",34.468888,70.889722,US strike,1,0,0,-,-,Afternoon,On foot,1,1,4,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#37,,37
AFG052,Afghanistan ,06-20-2015,Obama,Unknown,Kanish,Nuristan,"Unknown, Kanish, Nuristan, Afghanistan","35.325022,70.907123",,,"Kanish, Nuristan, Afghanistan","35.325022,70.907123",35.325022,70.907123,US strike,1,0,0,-,TTP,Late at night,Hideouts,1,1,4,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#39,,39
AFG053,Afghanistan ,06-21-2015,Obama,Barikaab Dab,Bati Kot,Nangarhar,"Barikaab Dab, Bati Kot, Nangarhar, Afghanistan","34.263148,70.788209",,,"Barikaab Dab, Bati Kot, Nangarhar, Afghanistan","34.263148,70.788209",34.263148,70.788209,US strike,1,1,0,-,-,17:30,-,1,1,6,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#38,,38
AFG054,Afghanistan ,06-26-2015,Obama,Unknown,Unknown,Nuristan,"Unknown, Unknown, Nuristan, Afghanistan","35.325022,70.907123",,,"Nuristan, Afghanistan","35.325022,70.907123",35.325022,70.907123,US strike,0,1,1,FP,-,Night,-,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#40,,40
AFG055,Afghanistan ,06-27-2015,Obama,Unknown,Unknown,Paktika,"Unknown, Unknown, Paktika, Afghanistan","32.264538,68.524714",,,"Paktika, Afghanistan","32.264538,68.524714",32.264538,68.524714,US strike,1,1,0,FP,AQ,Night,-,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#41,,41
AFG056,Afghanistan ,06-27-2015,Obama,Mardish,Want Waigal,Nuristan,"Mardish, Want Waigal, Nuristan, Afghanistan","35.221191,71.049776",,,"Mardish, Want Waigal, Nuristan, Afghanistan","35.221191,71.049776",35.221191,71.049776,US strike,1,0,0,-,Taliban,Night,Hideouts,1,1,5,5,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#42,,42
AFG057,Afghanistan ,06-30-2015,Obama,Machi Megi,Lal Pura,Nangarhar,"Machi Megi, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",,,"Machi Megi, Lal Pura, Nangarhar, Afghanistan","34.354216,70.954680",34.354216,70.954680,US strike,1,0,0,-,Taliban,Night,Hideouts,1,1,4,14,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#43,,43
AFG058,Afghanistan ,07-04-2015,Obama,Unknown,Ghanikhel,Nangarhar,"Unknown, Ghanikhel, Nangarhar, Afghanistan","34.516667,70.149999",,,"Ghanikhel, Nangarhar, Afghanistan","34.516667,70.149999",34.516667,70.149999,US strike,1,0,0,-,Taliban,-,-,1,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#44,,44
AFG059,Afghanistan ,07-04-2015,Obama,Unknown,Chappa Dara,Kunar,"Unknown, Chappa Dara, Kunar, Afghanistan","34.920175,70.764423",,,"Chappa Dara, Kunar, Afghanistan","34.920175,70.764423",34.920175,70.764423,US strike,1,0,0,-,TTP,-,-,1,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#45,,45
